name,neighborhood,address,location_lat,location_lng,days,hours,deals,description
"The Smith",east_village,"55 3rd Ave, New York, NY 10003",40.7315,-73.9883,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 6:30 PM","$7 select beers, $9 glasses of wine, $10 signature cocktails, $8 bar snacks","Bustling bistro with modern American comfort food and craft cocktails"
"Barn Joo",union_square,"35 Union Square W, New York, NY 10003",40.7369,-73.9916,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 house wine, $7 select beers, $8 cocktails, half-price bar snacks","Korean gastropub with fusion dishes and K-pop vibes"
"Oscar Wilde",nomad,"45 W 27th St, New York, NY 10001",40.7453,-73.9903,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 select beers, $8 wine, $9 cocktails, $1 oysters, $8 small plates","Victorian-themed bar with the longest bar counter in NYC"
"The Dead Rabbit",financial_district,"30 Water St, New York, NY 10004",40.7034,-74.0108,"monday,tuesday,wednesday,thursday,friday","5:00 PM - 7:00 PM","$8 select cocktails, $6 draft beers, $10 wine, $1 oysters","Award-winning Irish pub with vintage cocktail menu"
"Upside Down",chelsea,"218 W 23rd St, New York, NY 10011",40.7451,-73.9974,"monday,tuesday,wednesday,thursday","5:00 PM - 8:00 PM","$6 draft beers, $8 wine, $10 specialty cocktails, half-price flatbreads","Casual rooftop bar with great skyline views and outdoor seating"
"Katana Kitten",west_village,"531 Hudson St, New York, NY 10014",40.7356,-74.0064,"sunday,monday,tuesday,wednesday,thursday","5:00 PM - 7:00 PM","$10 highballs, $9 wine, $8 draft beers, half-price bar food","Japanese-American cocktail bar with inventive drinks"
"Porchlight",chelsea,"271 11th Ave, New York, NY 10001",40.7509,-74.0045,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$7 draft beers, $9 wines, $10 select cocktails, $5 bar snacks","Southern-inspired bar with excellent whiskey selection"
"Dutch Fred's",times_square,"307 W 47th St, New York, NY 10036",40.7605,-73.9886,"monday,tuesday,wednesday,thursday,friday,saturday,sunday","4:00 PM - 7:00 PM","$6 select beers, $8 wines, $10 cocktails, half-price appetizers","Pre-theater cocktail bar with speakeasy atmosphere"
"Dear Irving",gramercy,"55 Irving Pl, New York, NY 10003",40.7367,-73.9873,"sunday,monday,tuesday,wednesday","5:00 PM - 8:00 PM","$10 signature cocktails, $9 wine, half-price oysters","Upscale cocktail parlor with time-period themed rooms"
"Cask Bar & Kitchen",murray_hill,"167 E 33rd St, New York, NY 10016",40.7448,-73.9782,"monday,tuesday,wednesday,thursday,friday","3:00 PM - 7:00 PM","Half-price draft beers, $8 wine, $10 cocktails, $8 bar bites","Relaxed neighborhood gastro pub with craft beer focus"
"Verlaine",lower_east_side,"110 Rivington St, New York, NY 10002",40.7195,-73.9898,"daily","5:00 PM - 10:00 PM","$6 Vietnamese-inspired cocktails, $5 beer, half-price small plates","Sleek lounge with Southeast Asian inspired drinks and food"
"The Garret",west_village,"296 Bleecker St, New York, NY 10014",40.7318,-74.0030,"monday,tuesday,wednesday,thursday","5:00 PM - 8:00 PM","$10 specialty cocktails, $8 beer, $12 wine, $8 appetizers","Hidden speakeasy above Five Guys with creative cocktails"
"The Jeffrey",upper_east_side,"311 E 60th St, New York, NY 10022",40.7608,-73.9628,"monday,tuesday,wednesday,thursday,friday","2:00 PM - 7:00 PM","$2 off all drafts, $8 glasses of wine, $8 well drinks","Craft beer bar with extensive selection and outdoor space"
"As Is",hell's_kitchen,"734 10th Ave, New York, NY 10019",40.7634,-73.9928,"daily","5:00 PM - 7:00 PM","$9 cocktails, $6-8 craft beer, half-price small plates","Stylish craft beer and cocktail bar with rotating beer selections"
"Empellón Al Pastor",east_village,"132 St Marks Pl, New York, NY 10009",40.7268,-73.9833,"monday,tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$4 tacos, $8 margaritas, $5 draft beers, $7 frozen drinks","Mexican taqueria with excellent tacos and tequila selection"
"Mother's Ruin",nolita,"18 Spring St, New York, NY 10012",40.7215,-73.9957,"monday,tuesday,wednesday,thursday,friday","1:00 PM - 7:00 PM","$6 draft beers, $10 frozen drinks, $10 daily punch, half-price wings","Popular neighborhood bar with craft cocktails and comfort food"
"The Rum House",times_square,"228 W 47th St, New York, NY 10036",40.7593,-73.9858,"monday,tuesday,wednesday,thursday","4:00 PM - 6:00 PM","$10 rum cocktails, $8 beer, $10 wine, $1 oysters","Classic piano bar in The Edison Hotel specializing in rum"
"BlackTail",financial_district,"22 Battery Pl, New York, NY 10004",40.7041,-74.0173,"tuesday,wednesday,thursday,friday","5:00 PM - 7:00 PM","Half-price daiquiris, $9 beer and shot combo, $10 wine","Cuban-inspired cocktail bar with Prohibition-era theme"
"The Wayland",east_village,"700 E 9th St, New York, NY 10009",40.7261,-73.9784,"tuesday,wednesday,thursday,friday","4:00 PM - 7:00 PM","$8 signature cocktails, $7 draft beers, $1 oysters, half-price appetizers","Rustic neighborhood cocktail bar with live music"
"P.J. Clarke's",midtown,"915 3rd Ave, New York, NY 10022",40.7585,-73.9675,"monday,tuesday,wednesday,thursday,friday","3:00 PM - 6:00 PM","$7 draft beers, $9 wine, $10 signature cocktails, half-price bar menu","Historic tavern serving New Yorkers since 1884"
